Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,-9999
263,Yves Missi,NOP,$3353040,$3512760,$5595827,,,,$3353040,missiyv01
264,Dariq Whitehead,BRK,$3262560,$5366912,,,,,$3262560,whiteda01
265,Asa Newell,ATL,$3237480,$3399480,$3560880,$6042814,,,$6636960,newelas01
266,DaRon Holmes,DEN,$3218760,$3372120,$5547138,,,,$3218760,holmeda01
267,Kris Murray,POR,$3132000,$5315004,,,,,$3132000,murrakr01
268,Nique Clifford,SAC,$3108120,$3263400,$3418800,$5979481,,,$6371520,cliffni01
269,Nassir Little,PHO,$3107143,$3107143,$3107143,$3107143,,,$12428572,littlna01
270,AJ Johnson,WAS,$3090480,$3237120,$5493394,,,,$3090480,johnsaj01
271,Olivier-Maxence Prosper,DAL,$3007080,,,,,,$3007080,prospol01
272,Shake Milton,LAL,$3000000,$3287406,,,,,$6287406,miltosh01
273,Kyle Filipowski,UTA,$3000000,$3000000,$3000000,,,,$3000000,filipky01
274,Julian Champagnie,SAS,$3000000,$3000000,,,,,,champju02
275,Jase Richardson,ORL,$2983320,$3132360,$3282000,$5910882,,,$6115680,richaja02
276,Kyshawn George,WAS,$2966760,$3108000,$5435892,,,,$2966760,georgky01
277,Tony Bradley,IND,$2940876,,,,,,$2940876,bradlto01
278,Lonnie Walker IV,PHI,$2940876,,,,,,,walkelo01
279,Marcus Sasser,DET,$2886720,$5198983,,,,,$2886720,sassema01
280,Ben Saraf,BRK,$2884560,$3028560,$3172920,$5720776,,,$5913120,sarafbe01
281,Pacome Dadiet,NYK,$2847600,$2983680,$5373608,,,,$2847600,dadiepa01
282,Danny Wolf,BRK,$2801280,$2941440,$3081840,$5559640,,,$5742720,wolfda01
283,Ben Sheppard,IND,$2790720,$5031669,,,,,$2790720,sheppbe01
284,Hugo González,BOS,$2783880,$2923560,$3062640,$5528065,,,$5707440,gonzahu01
285,Liam McNeeley,CHO,$2763960,$2902080,$3040320,$5487778,,,$5666040,mcneeli01
286,Dillon Jones,WAS,$2753280,$2884440,$5200646,,,,$2753280,jonesdi01
287,Yanic Konan Niederhauser,LAC,$2743800,$2880960,$3018480,$5448356,,,$5624760,konanya01
288,Nick Smith Jr.,CHO,$2710680,$4890067,,,,,$2710680,smithni01
289,Brice Sensabaugh,UTA,$2693760,$4862237,,,,,$2693760,sensabr01
290,Julian Strawther,DEN,$2674200,$4826931,,,,,$2674200,strawju01
291,Terrence Shannon Jr.,MIN,$2674080,$2801640,$5054159,,,,$2674080,shannte01
292,James Wiseman,IND,$2667947,,,,,,$1000000,wisemja01
293,Ryan Dunn,PHO,$2657760,$2784240,$5025553,,,,$2657760,dunnry01
294,Kobe Brown,LAC,$2654880,$4792059,,,,,$2654880,brownko01
295,Isaiah Collier,UTA,$2638200,$2763960,$4988948,,,,$2638200,colliis01
296,Baylor Scheierman,BOS,$2619000,$2744040,$4952993,,,,$7697033,scheiba01
297,Xavier Tillman Sr.,BOS,$2546675,,,,,,$2546675,tillmxa01
298,Chuma Okeke,CLE,$2546675,,,,,,,okekech01
299,Justin Champagnie,WAS,$2349578,$2667944,$3005085,,,,$5017522,champju01
300,Jordan Goodwin,PHO,$2349578,,,,,,$2349578,goodwjo01
301,Jay Huff,IND,$2349578,$2667944,$3005085,,,,$2349578,huffja01
302,Keon Johnson,BRK,$2349578,,,,,,$2349578,johnske07
303,Neemias Queta,BOS,$2349578,$2667944,,,,,,quetane01
304,Vit Krejci,ATL,$2349578,$2667944,$3005085,,,,,krejcvi01
305,Keon Ellis,SAC,$2301587,,,,,,$2301587,elliske01
306,Vince Williams Jr.,MEM,$2301587,$2489752,,,,,$2301587,willivi01
307,A.J. Green,MIL,$2301587,,,,,,,greenaj01
308,Scotty Pippen Jr.,MEM,$2270735,$2461462,$2789215,,,,$2270735,pippesc02
309,JD Davison,BOS,$2270735,,,,,,$2270735,davisjd01
310,A.J. Lawson,TOR,$2270735,,,,,,,lawsoaj01
311,Brandon Williams,DAL,$2270735,,,,,,,willibr03
312,Moussa Diabaté,CHO,$2270735,$2461462,,,,,,diabamo01
313,Rayan Rupert,POR,$2221677,,,,,,$2221677,ruperra01
314,Ricky Council IV,PHI,$2221677,,,,,,$2221677,councri01
315,GG Jackson II,MEM,$2221677,$2406205,,,,,$2221677,jacksgg01
316,Gui Santos,GSW,$2221677,,,,,,$2221677,santogu01
317,Jalen Pickett,DEN,$2221677,$2406205,,,,,$2221677,pickeja02
318,Hunter Tyson,DEN,$2221677,$2406205,,,,,$2221677,tysonhu01
319,Julian Phillips,CHI,$2221677,$2406205,,,,,$2221677,phillju01
320,Jalen Wilson,BRK,$2221677,,,,,,$2221677,wilsoja03
321,Jordan Walsh,BOS,$2221677,$2406205,,,,,$200000,walshjo01
322,Duop Reath,POR,$2221677,,,,,,,reathdu01
323,Toumani Camara,POR,$2221677,$2406205,,,,,,camarto01
324,Leonard Miller,MIN,$2221677,$2406205,,,,,,millele01
325,Andre Jackson Jr.,MIL,$2221677,$2406205,,,,,,jacksan01
326,Trayce Jackson-Davis,GSW,$2221677,$2406205,,,,,,jackstr02
327,Craig Porter Jr.,CLE,$2221677,$2406205,,,,,,portecr01
328,Mouhamed Gueye,ATL,$2221677,$2406205,,,,,,gueyemo02
329,JaVale McGee,DAL,$2208856,$2208856,$2208856,,,,$6626568,mcgeeja01
330,Tyler Kolek,NYK,$2191897,$2296271,$2486995,,,,$4488168,kolekty01
331,Jaylen Clark,MIN,$2191897,,,,,,$2191897,clarkja02
332,Tyrese Martin,BRK,$2191897,,,,,,$2191897,martity01
333,Tyler Smith,MIL,$1955377,$2296271,$2486995,,,,$4251648,smithty02
334,Johnny Furphy,IND,$1955377,$2296271,$2486995,,,,$4251648,furphjo01
335,Jonathan Mogbo,TOR,$1955377,$2296271,,,,,$1955377,mogbojo01
336,Jamal Shead,TOR,$1955377,$2296271,,,,,$1955377,sheadja01
337,Isaac Jones,SAC,$1955377,,,,,,$1955377,jonesis01
338,Oso Ighodaro,PHO,$1955377,$2296271,$2486995,,,,$1955377,ighodos01
339,Ariel Hukporti,NYK,$1955377,,,,,,$1955377,hukpoar01
